	label	decision_function	pmid	sentence_pos	text	title
0	0	-2.057	26309414	0	BACKGROUND: We analyzed the expression of heme oxygenase-1 (HO-1) in patients undergoing radical nephrectomy for advanced clear cell renal cell carcinoma (CC-RCC) and evaluated the effects of the targeted therapies treated with sorafenib and sunitinib.	Heme oxygenase-1 is a predictive biomarker for therapeutic targeting of advanced clear cell renal cell carcinoma treated with sorafenib or sunitinib.
1	0	-2.118	26309414	0.1111	METHODS: Expression of HO-1 in cancer tissue from 66 patients was measured by immunohis-tochemical staining.	Heme oxygenase-1 is a predictive biomarker for therapeutic targeting of advanced clear cell renal cell carcinoma treated with sorafenib or sunitinib.
2	0	-0.5615	26309414	0.2222	The patients received either oral sorafenib (n=40) or oral sunitinib (n=26) within 4 weeks after nephrectomy and were followed up long term to determine the tumor response and prognosis.	Heme oxygenase-1 is a predictive biomarker for therapeutic targeting of advanced clear cell renal cell carcinoma treated with sorafenib or sunitinib.
3	1	0.06608	26309414	0.3333	RESULTS: Our current study revealed a high HO-1 expression level in 57.6% (38/66) of patients and a low HO-1 expression level in 42.4% (28/66) of patients with CC-RCC.	Heme oxygenase-1 is a predictive biomarker for therapeutic targeting of advanced clear cell renal cell carcinoma treated with sorafenib or sunitinib.
4	1	0.6745	26309414	0.4444	The study also revealed that patients with high HO-1 expression did not have a higher objective response rate (2.6% versus 53.6%, P<0.01), clinical benefit rate (47.4% versus 92.9%, P<0.01), longer progression-free survival (4.4 versus 42 months, P=0.022), or overall survival (chi (2)=4.775, P=0.029) than patients with low HO-1 expression.	Heme oxygenase-1 is a predictive biomarker for therapeutic targeting of advanced clear cell renal cell carcinoma treated with sorafenib or sunitinib.
5	1	0.3647	26309414	0.5556	In the low HO-1 level group, a higher tumor response rate and a longer survival time was achieved in patients who received sorafenib or sunitinib.	Heme oxygenase-1 is a predictive biomarker for therapeutic targeting of advanced clear cell renal cell carcinoma treated with sorafenib or sunitinib.
6	1	0.8471	26309414	0.6667	Multivariate analysis showed that HO-1 expression was an independent prognostic factor for tumor response and overall survival.	Heme oxygenase-1 is a predictive biomarker for therapeutic targeting of advanced clear cell renal cell carcinoma treated with sorafenib or sunitinib.
7	1	0.7371	26309414	0.7778	CONCLUSION: High expression of HO-1 was associated with a lower tumor response rate and a shorter overall survival time when compared with low expression of HO-1.	Heme oxygenase-1 is a predictive biomarker for therapeutic targeting of advanced clear cell renal cell carcinoma treated with sorafenib or sunitinib.
8	1	0.5118	26309414	0.8889	Overall, HO-1 expression might be a useful biomarker for predicting the response to sunitinib and sorafenib for patients with metastatic CC-RCC.	Heme oxygenase-1 is a predictive biomarker for therapeutic targeting of advanced clear cell renal cell carcinoma treated with sorafenib or sunitinib.
9	0	-2.391	25847936	0	PURPOSE: The identification of patients with metastatic triple-negative breast cancer (mTNBC) who are expected to benefit from platinum-based chemotherapy is of interest.	TBCRC009: A Multicenter Phase II Clinical Trial of Platinum Monotherapy With Biomarker Assessment in Metastatic Triple-Negative Breast Cancer.
